,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
312,Howard Wood,1982,1982,F,6-7	,235.0,"May 20, 1959",University of Tennessee
313,Leon Wood,1985,1991,G,6-3	,185.0,"March 25, 1962","University of Arizona, California State University, Fullerton"
314,Loren Woods,2002,2008,F-C,7-1	,245.0,"June 21, 1978","Wake Forest University, University of Arizona"
315,Qyntel Woods,2003,2006,F,6-8	,221.0,"February 16, 1981",Northeast Mississippi Community College
316,Randy Woods,1993,1996,G,5-10	,185.0,"September 23, 1970",La Salle University
317,Tommy Woods,1968,1968,F,6-7	,210.0,"June 10, 1943",East Tennessee State University
318,Mike Woodson,1981,1991,G-F,6-5	,195.0,"March 24, 1958",Indiana University
319,Bob Woollard,1970,1970,C,6-10	,225.0,"July 27, 1940",Wake Forest University
320,Orlando Woolridge,1982,1994,F,6-9	,215.0,"December 16, 1959",University of Notre Dame
321,Haywoode Workman,1990,2000,G,6-2	,180.0,"January 23, 1966","Winston-Salem State University, Oral Roberts University"
322,Mark Workman,1953,1954,F-C,6-9	,215.0,"March 10, 1930",West Virginia University
323,Tom Workman,1968,1971,F-C,6-7	,218.0,"November 14, 1944",Seattle University
324,Metta World Peace,2000,2017,F,6-6	,260.0,"November 13, 1979",St. John's University
325,Willie Worsley,1969,1969,G,5-9	,175.0,"November 13, 1945",University of Texas at El Paso
326,Sam Worthen,1981,1982,G,6-5	,195.0,"January 17, 1958",Marquette University
327,James Worthy*,1983,1994,F,6-9	,225.0,"February 27, 1961",University of North Carolina
328,Antoine Wright,2006,2011,G-F,6-7	,210.0,"February 6, 1984",Texas A&M University
329,Bracey Wright,2006,2007,G,6-3	,210.0,"July 1, 1984",Indiana University
330,Brad Wright,1987,1988,F,6-11	,225.0,"March 26, 1962","University of California, Los Angeles"
331,Brandan Wright,2008,2018,F-C,6-10	,210.0,"October 5, 1987",University of North Carolina
332,Chris Wright,2012,2014,F,6-8	,226.0,"September 30, 1988",University of Dayton
333,Chris Wright,2013,2013,G,6-1	,210.0,"November 4, 1989",Georgetown University
334,Delon Wright,2016,2018,G,6-5	,183.0,"April 26, 1992",University of Utah
335,Dorell Wright,2005,2015,F-G,6-9	,205.0,"December 2, 1985",
336,Howard Wright,1991,1993,F,6-8	,220.0,"December 20, 1967",Stanford University
337,Howie Wright,1971,1972,G,6-3	,185.0,"February 22, 1947",Austin Peay State University
338,Joby Wright,1973,1976,F-C,6-8	,220.0,"September 5, 1950",Indiana University
339,Julian Wright,2008,2011,F,6-8	,225.0,"May 20, 1987",University of Kansas
340,Larry Wright,1977,1982,G,6-1	,160.0,"November 23, 1954",Grambling State University
341,Leroy Wright,1968,1969,F,6-9	,215.0,"May 6, 1938",University of the Pacific
342,Lonnie Wright,1968,1972,G,6-2	,205.0,"January 23, 1945",Colorado State University
343,Lorenzen Wright,1997,2009,F-C,6-11	,225.0,"November 4, 1975",University of Memphis
344,Luther Wright,1994,1994,C,7-2	,270.0,"September 22, 1971",Seton Hall University
345,Sharone Wright,1995,1998,F-C,6-11	,260.0,"January 30, 1973",Clemson University
346,Tony Wroten,2013,2016,G,6-6	,205.0,"April 13, 1993",University of Washington
347,Dennis Wuycik,1973,1975,F,6-6	,215.0,"March 29, 1950",University of North Carolina
348,A.J. Wynder,1991,1991,G,6-2	,180.0,"September 11, 1964","University of Massachusetts Amherst, Fairfield University"
