,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
325,Bob Brown,1949,1950,F,6-4	,205,"November 12, 1923",Miami University
326,Bobby Brown,2009,2018,G,6-2	,175,"September 24, 1984","California State University, Fullerton"
327,Chucky Brown,1990,2002,F,6-7	,214,"February 29, 1968",North Carolina State University
328,Damone Brown,2002,2005,F,6-9	,200,"June 28, 1979",Syracuse University
329,Darrell Brown,1949,1949,F,6-2	,175,"March 14, 1923",Humboldt State University
330,Dee Brown,1991,2002,G,6-1	,160,"November 29, 1968",Jacksonville University
331,Dee Brown,2007,2009,G,6-0	,185,"August 17, 1984",University of Illinois at Urbana-Champaign
332,Derrick Brown,2010,2012,F,6-7	,225,"September 8, 1987",Xavier University
333,Devin Brown,2003,2010,G,6-5	,220,"December 30, 1978",University of Texas at San Antonio
334,Ernest Brown,2002,2002,C,7-0	,244,"May 17, 1979",Indian Hills Community College
335,Fred Brown,1972,1984,G,6-3	,182,"August 7, 1948",University of Iowa
336,George Brown,1958,1958,F,6-6	,190,"October 30, 1935",Wayne State University
337,Gerald Brown,1999,1999,G,6-4	,210,"July 28, 1975",Pepperdine University
338,Harold Brown,1947,1947,G,6-0	,155,"October 2, 1923",University of Evansville
339,Jabari Brown,2015,2015,G,6-4	,215,"December 18, 1992","University of Oregon, University of Missouri"
340,Jaylen Brown,2017,2018,F-G,6-7	,225,"October 24, 1996",University of California
341,John Brown,1974,1980,F,6-7	,220,"December 14, 1951",University of Missouri
342,Kedrick Brown,2002,2005,G,6-7	,222,"March 18, 1981",Okaloosa-Walton Community College
343,Kwame Brown,2002,2013,F,6-11	,270,"March 10, 1982",
344,Larry Brown*,1968,1972,G,5-9	,160,"September 14, 1940",University of North Carolina
345,Leon Brown,1947,1947,F,6-3	,190,"October 12, 1919",University of Wyoming
346,Lewis Brown,1981,1981,C,6-11	,225,"February 19, 1955","University of Nevada, Las Vegas"
347,Lorenzo Brown,2014,2018,G,6-5	,189,"August 26, 1990",North Carolina State University
348,Marcus Brown,1997,2000,G,6-3	,185,"April 3, 1974",Murray State University
349,Markel Brown,2015,2018,G,6-3	,190,"January 29, 1992",Oklahoma State University
350,Mike Brown,1987,1997,C-F,6-9	,257,"July 19, 1963",George Washington University
351,Myron Brown,1992,1992,G,6-3	,180,"November 3, 1969",Slippery Rock University of Pennsylvania
352,P.J. Brown,1994,2008,F-C,6-11	,225,"October 14, 1969",Louisiana Tech University
353,Randy Brown,1992,2003,G,6-2	,190,"May 22, 1968","University of Houston, New Mexico State University"
354,Raymond Brown,1990,1990,F,6-8	,220,"July 5, 1965","Mississippi State University, University of Idaho"
355,Rickey Brown,1981,1985,C-F,6-10	,215,"August 20, 1958",Mississippi State University
356,Roger Brown*,1968,1975,F-G,6-5	,205,"May 22, 1942",University of Dayton
357,Roger Brown,1973,1980,C,6-11	,225,"February 23, 1950",University of Kansas
358,Shannon Brown,2007,2015,G,6-4	,205,"November 29, 1985",Michigan State University
359,Stan Brown,1948,1952,F,6-3	,200,"June 27, 1929",
360,Sterling Brown,2018,2018,G,6-5	,225,"February 10, 1995",Southern Methodist University
361,Tierre Brown,2002,2005,G,6-2	,189,"June 3, 1979",McNeese State University
362,Tony Brown,1985,1992,F-G,6-6	,185,"July 29, 1960",University of Arkansas
363,Jim Browne,1949,1950,C,6-10	,235,"January 1, 1930",
364,Stanley Brundy,1990,1990,F,6-6	,210,"November 13, 1967",DePaul University
365,Brian Brunkhorst,1969,1969,F,6-6	,208,"June 12, 1945",Marquette University
366,George Bruns,1973,1973,G,6-0	,160,"August 30, 1946",Manhattan College
367,Rick Brunson,1998,2006,G,6-4	,190,"June 14, 1972",Temple University
368,Nicolas Brussino,2017,2018,G-F,6-7	,195,"March 2, 1993",
369,Em Bryant,1965,1972,G,6-1	,175,"November 4, 1938",DePaul University
370,Joe Bryant,1976,1983,F-C,6-9	,185,"October 19, 1954",La Salle University
371,Kobe Bryant,1997,2016,G-F,6-6	,212,"August 23, 1978",
372,Mark Bryant,1989,2003,F-C,6-9	,245,"April 25, 1965",Seton Hall University
373,Thomas Bryant,2018,2018,C,6-10	,248,"July 31, 1997",Indiana University
374,Wallace Bryant,1984,1986,C,7-0	,245,"July 14, 1959",University of San Francisco
375,Torgeir Bryn,1990,1990,C,6-9	,250,"August 8, 1964",Texas State University
376,George Bucci,1976,1976,G,6-3	,200,"July 9, 1953",Manhattan College
377,Joe Buckhalter,1962,1963,F,6-7	,210,"August 1, 1937",Tennessee State University
378,Steve Bucknall,1990,1990,G,6-6	,215,"March 17, 1966",University of North Carolina
379,Cleveland Buckner,1962,1963,F-C,6-9	,210,"August 17, 1938",Jackson State University
380,Greg Buckner,2000,2009,G,6-4	,210,"September 16, 1976",Clemson University
381,Quinn Buckner,1977,1986,G,6-3	,190,"August 20, 1954",Indiana University
382,Dave Budd,1961,1965,F,6-6	,205,"October 28, 1938",Wake Forest University
383,Chase Budinger,2010,2016,F,6-7	,209,"May 22, 1988",University of Arizona
384,Walt Budko,1949,1952,F-C,6-5	,220,"July 30, 1925",Columbia University
385,Jud Buechler,1991,2002,F-G,6-6	,220,"June 19, 1968",University of Arizona
386,Rodney Buford,2000,2005,G-F,6-5	,189,"November 2, 1977",Creighton University
387,Matt Bullard,1991,2002,F,6-10	,215,"June 5, 1967","University of Colorado, University of Iowa"
388,Reggie Bullock,2014,2018,G-F,6-7	,205,"March 16, 1991",University of North Carolina
389,Larry Bunce,1968,1969,C,7-0	,240,"July 29, 1945",Utah State University
390,Greg Bunch,1979,1979,F,6-6	,190,"May 15, 1956","California State University, Fullerton"
391,Dick Bunt,1953,1953,G,6-0	,170,"July 13, 1930",New York University
392,Bill Buntin,1966,1966,C-F,6-7	,250,"May 5, 1942",University of Michigan
393,Bill Bunting,1970,1972,F-C,6-8	,200,"August 26, 1947",University of North Carolina
394,Ticky Burden,1976,1978,G,6-2	,185,"February 28, 1953",University of Utah
395,Pat Burke,2003,2007,C-F,6-11	,250,"December 14, 1973",Auburn University
396,Trey Burke,2014,2018,G,6-1	,191,"November 12, 1992",University of Michigan
397,Roger Burkman,1982,1982,G,6-5	,175,"May 22, 1958",University of Louisville
398,Alec Burks,2012,2018,G,6-6	,214,"July 20, 1991",University of Colorado
399,Antonio Burks,2005,2006,G,6-1	,200,"February 25, 1980",University of Memphis
400,Kevin Burleson,2006,2006,G,6-3	,205,"April 9, 1979",University of Minnesota
401,Tom Burleson,1975,1981,C,7-2	,225,"February 24, 1952",North Carolina State University
402,Jack Burmaster,1950,1950,G,6-3	,190,"December 23, 1926",University of Illinois at Urbana-Champaign
403,David Burns,1982,1982,G,6-2	,180,"July 3, 1958",Saint Louis University
404,Evers Burns,1994,1994,F,6-8	,260,"August 24, 1971",University of Maryland
405,Jim Burns,1968,1968,G,6-3	,195,"September 21, 1945",Northwestern University
406,Scott Burrell,1994,2001,G-F,6-7	,218,"January 12, 1971",University of Connecticut
407,Art Burris,1951,1952,F,6-5	,220,"April 7, 1924",University of Tennessee
408,Junior Burrough,1996,1996,F,6-8	,242,"January 18, 1973",University of Virginia
409,Bob Burrow,1957,1958,C-F,6-7	,228,"June 29, 1934",University of Kentucky
410,Ed Burton,1962,1965,F,6-6	,225,"August 13, 1939",Michigan State University
411,Willie Burton,1991,1999,F-G,6-8	,210,"May 26, 1968",University of Minnesota
412,Steve Burtt,1985,1993,G,6-2	,185,"November 5, 1962",Iona College
413,Don Buse,1973,1985,G,6-4	,190,"August 10, 1950",University of Evansville
414,David Bustion,1973,1973,F,6-8	,215,"August 30, 1949",University of Denver
415,Donnie Butcher,1962,1966,G,6-2	,200,"February 8, 1936",Pikeville College
416,Al Butler,1962,1965,G,6-2	,175,"July 9, 1938",Niagara University
417,Caron Butler,2003,2016,F,6-7	,228,"March 13, 1980",University of Connecticut
418,Greg Butler,1989,1991,C,6-11	,240,"March 11, 1966",Stanford University
419,Jackie Butler,2005,2007,F-C,6-10	,250,"March 10, 1985",
420,Jimmy Butler,2012,2018,F-G,6-8	,236,"September 14, 1989",Marquette University
421,Mike Butler,1969,1972,G,6-2	,170,"October 22, 1946",University of Memphis
422,Mitchell Butler,1994,2004,G-F,6-5	,210,"December 15, 1970","University of California, Los Angeles"
423,Rasual Butler,2003,2016,F-G,6-7	,215,"May 23, 1979",La Salle University
424,Dwight Buycks,2014,2018,G,6-3	,190,"March 6, 1989",Marquette University
425,Derrick Byars,2012,2012,F,6-7	,220,"April 25, 1984","University of Virginia, Vanderbilt University"
426,Andrew Bynum,2006,2014,C,7-0	,285,"October 27, 1987",
427,Will Bynum,2006,2015,G,6-0	,185,"January 4, 1983","University of Arizona, Georgia Institute of Technology"
428,Walter Byrd,1970,1970,F,6-7	,205,,Temple University
429,Marty Byrnes,1979,1983,F,6-7	,215,"April 30, 1956",Syracuse University
430,Tommy Byrnes,1947,1951,F-G,6-3	,175,"February 19, 1923",Seton Hall University
431,Michael Bytzura,1947,1947,F,6-1	,170,"June 18, 1922",Long Island University
