,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
311,Sam Mitchell,1990,2002,F,6-6	,210.0,"September 2, 1963",Mercer University
312,Todd Mitchell,1989,1989,F,6-7	,205.0,"July 26, 1966",Purdue University
313,Tony Mitchell,2014,2014,F,6-6	,216.0,"August 7, 1989",University of Alabama
314,Tony Mitchell,2014,2014,F,6-8	,235.0,"April 7, 1992",University of North Texas
315,Naz Mitrou-Long,2018,2018,G,6-4	,209.0,"August 3, 1993",Iowa State University
316,Steve Mix,1970,1983,F,6-7	,215.0,"December 30, 1947",University of Toledo
317,Bill Mlkvy,1953,1953,F,6-4	,190.0,"January 19, 1931",Temple University
318,Cuttino Mobley,1999,2009,G,6-4	,190.0,"September 1, 1975",University of Rhode Island
319,Eric Mobley,1995,1997,C,6-11	,235.0,"February 1, 1970",University of Pittsburgh
320,Doug Moe,1968,1972,F-G,6-5	,215.0,"September 21, 1938",University of North Carolina
321,Larry Moffett,1978,1978,F,6-8	,210.0,"November 5, 1954","University of Nevada, Las Vegas"
322,Leo Mogus,1947,1951,F-C,6-4	,190.0,"April 13, 1921",Youngstown State University
323,Nazr Mohammed,1999,2016,C,6-10	,221.0,"September 5, 1977",University of Kentucky
324,Jerome Moiso,2001,2005,F-C,6-10	,235.0,"June 15, 1978","University of California, Los Angeles"
325,Paul Mokeski,1980,1991,C-F,7-0	,250.0,"January 3, 1957",University of Kansas
326,Jack Molinas,1954,1954,F,6-6	,200.0,"October 31, 1931",Columbia University
327,Wayne Molis,1967,1968,F,6-8	,230.0,"April 17, 1943",Lewis University
328,Sidney Moncrief,1980,1991,G,6-3	,180.0,"September 21, 1957",University of Arkansas
329,Eric Money,1975,1980,G,6-0	,170.0,"February 6, 1955",University of Arizona
330,Sergei Monia,2006,2006,F,6-8	,220.0,"April 15, 1983",
331,Malik Monk,2018,2018,G,6-3	,200.0,"February 4, 1998",University of Kentucky
332,Earl Monroe*,1968,1980,G,6-3	,185.0,"November 21, 1944",Winston-Salem State University
333,Greg Monroe,2011,2018,C-F,6-11	,265.0,"June 4, 1990",Georgetown University
334,Rodney Monroe,1992,1992,G,6-3	,185.0,"April 16, 1968",North Carolina State University
335,Luis Montero,2016,2018,G,6-7	,185.0,"April 6, 1993",Westchester CC
336,Howie Montgomery,1963,1963,F,6-5	,220.0,"August 22, 1940",University of Texas-Pan American
337,Eric Montross,1995,2002,C,7-0	,270.0,"September 23, 1971",University of North Carolina
338,Jamario Moon,2008,2012,F,6-8	,205.0,"June 13, 1980",Meridian Community College
339,Jim Mooney,1953,1953,F,6-5	,215.0,"July 8, 1930",Villanova University
340,Andre Moore,1988,1988,F,6-9	,215.0,"July 2, 1964",Loyola University of Chicago
341,Ben Moore,2018,2018,F,6-7	,203.0,"May 13, 1995",Southern Methodist University
342,E'Twaun Moore,2012,2018,G,6-4	,191.0,"February 28, 1989",Purdue University
343,Gene Moore,1969,1975,C-F,6-9	,225.0,"July 29, 1945",Saint Louis University
344,Jackie Moore,1955,1957,F,6-5	,180.0,"September 24, 1932",La Salle University
345,Johnny Moore,1981,1990,G,6-1	,175.0,"March 3, 1958",University of Texas at Austin
346,Larry Moore,1968,1968,F,6-7	,215.0,,
347,Lowes Moore,1981,1983,G,6-1	,170.0,"May 5, 1957",West Virginia University
348,Mikki Moore,1999,2012,C,6-11	,225.0,"November 4, 1975",University of Nebraska
349,Otto Moore,1969,1977,C-F,6-11	,205.0,"August 27, 1946",University of Texas-Pan American
350,Richard Moore,1968,1968,G,6-2	,190.0,,Hiram Scott College
351,Ron Moore,1988,1988,C,7-0	,260.0,"January 16, 1962","Salem International University, West Virginia State University"
352,Tracy Moore,1992,1997,G-F,6-4	,200.0,"December 28, 1965",University of Tulsa
353,Eric Moreland,2015,2018,F-C,6-10	,238.0,"December 24, 1991",Oregon State University
354,Jackie Moreland,1961,1970,F-G,6-7	,215.0,"March 11, 1938",Louisiana Tech University
355,Guy Morgan,1983,1983,G,6-8	,205.0,"August 23, 1960",Wake Forest University
356,Rex Morgan,1971,1972,G,6-5	,190.0,"October 27, 1948",Jacksonville University
357,Elmore Morgenthaler,1947,1949,C,6-9	,230.0,"August 3, 1922",New Mexico Institute of Mining and Technology
358,Darren Morningstar,1994,1994,C,6-10	,235.0,"April 22, 1969","United States Naval Academy, University of Pittsburgh"
359,Chris Morris,1989,1999,F,6-8	,210.0,"January 20, 1966",Auburn University
360,Darius Morris,2012,2015,G,6-4	,190.0,"January 3, 1991",University of Michigan
361,Isaiah Morris,1993,1993,F,6-8	,229.0,"April 2, 1969",University of Arkansas
362,Jaylen Morris,2018,2018,G,6-5	,185.0,"September 19, 1995",Molloy
363,Marcus Morris,2012,2018,F,6-9	,235.0,"September 2, 1989",University of Kansas
364,Markieff Morris,2012,2018,F,6-10	,245.0,"September 2, 1989",University of Kansas
365,Max Morris,1950,1950,F-C,6-2	,195.0,"March 14, 1925",Northwestern University
366,Monte Morris,2018,2018,G,6-3	,175.0,"June 27, 1995",Iowa State University
367,Randolph Morris,2007,2010,C,6-10	,266.0,"January 2, 1986",University of Kentucky
368,Terence Morris,2002,2006,F,6-9	,221.0,"January 11, 1979",University of Maryland
369,Adam Morrison,2007,2010,F,6-8	,205.0,"July 19, 1984",Gonzaga University
370,John Morrison,1968,1968,G,6-2	,190.0,"May 2, 1945",Canisius College
371,Mike Morrison,1990,1990,G,6-4	,195.0,"August 16, 1967",Loyola College in Maryland
372,Red Morrison,1955,1958,F-C,6-8	,220.0,"April 26, 1932",University of Idaho
373,Anthony Morrow,2009,2017,G,6-5	,210.0,"September 27, 1985",Georgia Institute of Technology
374,Dwayne Morton,1995,1995,F,6-7	,195.0,"August 8, 1971",University of Louisville
375,John Morton,1990,1992,G,6-3	,180.0,"May 18, 1967",Seton Hall University
376,Richard Morton,1989,1989,G,6-3	,190.0,"February 2, 1966","California State University, Fullerton"
377,Glenn Mosley,1978,1979,F,6-8	,195.0,"December 26, 1955",Seton Hall University
378,Perry Moss,1986,1987,G,6-2	,185.0,"November 11, 1958",Northeastern University
379,Lawrence Moten,1996,1998,G,6-5	,185.0,"March 25, 1972",Syracuse University
380,Donatas Motiejunas,2013,2017,F-C,7-0	,222.0,"September 20, 1990",
381,Johnathan Motley,2018,2018,F,6-9	,238.0,"May 4, 1995",Baylor University
382,Hanno Mottola,2001,2002,C,6-11	,247.0,"September 9, 1976",University of Utah
383,Arnett Moultrie,2013,2014,F,6-11	,249.0,"November 18, 1990","University of Texas at El Paso, Mississippi State University"
384,Rick Mount,1971,1975,G,6-3	,175.0,"January 5, 1947",Purdue University
385,Alonzo Mourning*,1993,2008,C,6-10	,240.0,"February 8, 1970",Georgetown University
386,Timofey Mozgov,2011,2018,C,7-1	,275.0,"July 16, 1986",
387,Chuck Mrazovich,1951,1951,F,6-5	,185.0,"February 26, 1924",Eastern Kentucky University
388,Emmanuel Mudiay,2016,2018,G,6-5	,200.0,"March 5, 1996",
389,Erwin Mueller,1967,1974,C-F,6-8	,230.0,"March 12, 1944",University of San Francisco
390,Shabazz Muhammad,2014,2018,F-G,6-6	,223.0,"November 13, 1992","University of California, Los Angeles"
391,Joe Mullaney,1950,1950,G,6-0	,165.0,"November 17, 1924",College of the Holy Cross
392,Bob Mullens,1947,1947,G,6-1	,175.0,"November 1, 1922",Fordham University
393,Byron Mullens,2010,2014,C,7-0	,275.0,"February 14, 1989",Ohio State University
394,Chris Mullin*,1986,2001,F-G,6-6	,200.0,"July 30, 1963",St. John's University
395,Jeff Mullins,1965,1976,G-F,6-4	,190.0,"March 18, 1942",Duke University
396,Todd Mundt,1996,1996,C,7-0	,250.0,"May 17, 1970","University of Memphis, Delta State University"
397,Xavier Munford,2016,2018,G,6-2	,180.0,"June 1, 1992",University of Rhode Island
398,Chris Munk,1991,1991,F,6-9	,225.0,"August 5, 1967",University of Southern California
399,George Munroe,1947,1948,G,5-11	,170.0,"January 5, 1922",Dartmouth College
400,Eric Murdock,1992,2000,G,6-1	,190.0,"June 14, 1968",Providence College
401,Gheorghe Muresan,1994,2000,C,7-7	,303.0,"February 14, 1971",
402,Allen Murphy,1976,1977,G,6-5	,190.0,"July 15, 1952",University of Louisville
403,Calvin Murphy*,1971,1983,G,5-9	,165.0,"May 9, 1948",Niagara University
404,Dick Murphy,1947,1947,G,6-1	,175.0,"March 10, 1921",Manhattan College
405,Erik Murphy,2014,2014,F,6-10	,230.0,"October 26, 1990",University of Florida
406,Jay Murphy,1985,1988,F,6-9	,220.0,"June 26, 1962",Boston College
407,John Murphy,1947,1947,F,6-2	,175.0,"September 13, 1924",
408,Kevin Murphy,2013,2013,G,6-5	,185.0,"March 6, 1990",Tennessee Technological University
409,Ronnie Murphy,1988,1988,F,6-5	,225.0,"July 29, 1964",Jacksonville University
410,Tod Murphy,1988,1994,C-F,6-9	,220.0,"December 24, 1963","University of California, Irvine"
411,Troy Murphy,2002,2013,F-C,6-11	,245.0,"May 2, 1980",University of Notre Dame
412,Dejounte Murray,2017,2018,G,6-5	,170.0,"September 19, 1996",University of Washington
413,Jamal Murray,2017,2018,G,6-4	,207.0,"February 23, 1997",University of Kentucky
414,Ken Murray,1951,1955,G-F,6-2	,190.0,"April 20, 1928",St. Bonaventure University
415,Lamond Murray,1995,2006,F,6-7	,236.0,"April 20, 1973",University of California
416,Ronald Murray,2003,2010,G,6-4	,190.0,"July 29, 1979","Meridian Community College, Shaw University"
417,Tracy Murray,1993,2004,F,6-7	,225.0,"July 25, 1971","University of California, Los Angeles"
418,Willie Murrell,1968,1970,F,6-6	,225.0,"September 13, 1941",Kansas State University
419,Dorie Murrey,1967,1972,F-C,6-8	,215.0,"September 7, 1943",University of Detroit Mercy
420,Toure' Murry,2014,2015,G-F,6-5	,195.0,"November 8, 1989",Wichita State University
421,Mike Muscala,2014,2018,F-C,6-11	,240.0,"July 1, 1991",Bucknell University
422,Angelo Musi,1947,1949,G,5-9	,145.0,"July 25, 1918",Temple University
423,Jerrod Mustaf,1991,1994,F-C,6-10	,238.0,"October 28, 1969",University of Maryland
424,Dikembe Mutombo*,1992,2009,C,7-2	,245.0,"June 25, 1966",Georgetown University
425,Martin Muursepp,1997,1998,F,6-9	,235.0,"September 26, 1974",
426,Pete Myers,1987,1998,G-F,6-6	,180.0,"September 15, 1963",University of Arkansas at Little Rock
